uid,plays_per_hour,total_events,completion_variance,avg_interval_seconds,avg_completion_rate,behavior_diversity,is_anomaly,anomaly_score
1,0.13665957583961838,53,390.0567669724906,26849.423076923078,60.659322807386324,5,False,-0.4012835499475601
2,0.09687343180677678,37,554.5365555455168,38194.166666666664,60.52136065527416,5,False,-0.537263328199357
3,0.10382813489216225,41,323.22566576176536,35539.5,55.5961176170487,4,False,-0.4983902585235538
4,0.1011721159777915,41,446.79597626685137,36472.5,65.8454479420474,5,False,-0.4800554593896217
5,0.10467805412423418,43,541.0387894075669,35210.0,60.493726726206106,5,False,-0.45196927514208424
6,0.10395098246355376,41,513.00825673367,35497.5,59.64187372247998,5,False,-0.44794300332595327
7,0.11614651667993031,45,438.03106694441044,31699.772727272728,56.711768101453124,5,False,-0.4055824887792726
8,0.13009486083602628,52,315.7064679199178,28214.70588235294,60.65405644711294,5,False,-0.40315027952121624
9,0.11203530809709726,44,454.5562006839261,32880.0,60.1555697577149,5,False,-0.42156905301984854
10,0.14915138007886164,58,444.6808407779708,24560.0,56.80014896308484,5,False,-0.45794254816047614
11,0.10898952348766475,43,398.7813304927782,33817.142857142855,58.7051505649941,5,False,-0.40281415334549364
12,0.1454485691394293,59,442.15181738830944,25177.758620689656,54.41130454412304,5,False,-0.48430831226169874
13,0.1711344341199278,64,428.6726723757177,21370.0,55.84343593604294,4,True,-0.6374985751050295
14,0.12132977432661975,50,368.52921542156656,30276.73469387755,54.75582599002227,5,False,-0.4285635431795927
15,0.10569361434413338,42,423.28137783508413,34891.46341463415,58.0325473711,5,False,-0.4192153069508753
16,0.1522749135266788,62,359.0933390927961,24029.016393442624,58.882574518330635,5,False,-0.45877699476519823
17,0.16262228433490025,64,408.0141294839515,22488.571428571428,52.31919546293935,4,True,-0.6463140836130165
18,0.11697806661251016,48,383.3553922775639,31429.787234042553,64.5890428972929,5,False,-0.4180664287721244
19,0.16388620414337943,65,318.23571329634126,22309.6875,59.037604466209295,5,False,-0.5444340177462089
20,0.0879729564615322,36,285.6154659306352,42090.857142857145,64.58330216255536,5,True,-0.6060005994211369
21,0.14470537739898215,59,395.98759815346574,25307.068965517243,57.55473647942364,5,False,-0.4397372144211485
22,0.1209823769004315,50,315.5609643024934,30363.673469387755,63.1804684020414,5,False,-0.4225592422593899
23,0.13604014023891,54,327.1352249575451,26962.075471698114,59.01683433377726,5,False,-0.41383756312059844
